cell,cycle,SOC,direction,I_A,tau_s,tau_actual_s,T_C,rest_before_s,V_pre_V,V_tau_V,R_mOhm,CAP_Ah,SOH
RPC_CC,1,0.221,discharge,-29.688,10.0,9.0,26.05,300.0,3.5104,3.1096,13.5006,2.9103,1.0
RPC_CC,1,0.1725,discharge,-29.579,2.0,2.0,26.15,300.0,3.4463,3.1253,10.8521,2.9103,1.0
RPC_CC,1,0.1725,discharge,-29.579,10.0,9.0,26.15,300.0,3.4463,3.0337,13.9488,2.9103,1.0
RPC_CC,1,0.1242,discharge,-28.696,2.0,2.0,26.2,300.0,3.4111,3.0605,12.2179,2.9103,1.0
RPC_CC,1,0.1242,discharge,-28.696,10.0,9.0,26.2,300.0,3.4111,2.8219,20.5328,2.9103,1.0
RPC_CC,1,0.076,discharge,-25.798,2.0,2.0,26.32,300.0,3.3545,2.9164,16.9819,2.9103,1.0
RPC_CC,1,0.0478,discharge,-14.619,2.0,2.0,26.3,300.0,3.1791,2.8411,23.1206,2.9103,1.0
RPC_CC,1,0.0337,discharge,-8.801,2.0,2.0,26.08,300.0,3.0171,2.7741,27.6118,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.798,2.0,2.0,25.56,1453.8,4.1851,3.8293,11.9404,2.9103,1.0
RPC_CC,1,0.9973,discharge,-29.798,10.0,9.0,25.56,1453.8,4.1851,3.7592,14.2929,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.843,2.0,2.0,25.9,300.0,4.1041,3.7783,10.9171,2.9103,1.0
RPC_CC,1,0.9488,discharge,-29.843,10.0,9.01,25.9,300.0,4.1041,3.7292,12.5624,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.808,2.0,2.0,26.02,300.0,4.0822,3.7646,10.6549,2.9103,1.0
RPC_CC,1,0.9003,discharge,-29.808,10.0,9.0,26.02,300.0,4.0822,3.7089,12.5235,2.9103,1.0
RPC_CC,1,0.8032,discharge,-29.727,2.0,2.0,25.93,300.0,4.0313,3.7009,11.1145,2.9103,1.0
RPC_CC,1,0.8032,discharge,-29.727,10.0,9.0,25.93,300.0,4.0313,3.6244,13.6879,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.764,2.0,2.0,25.96,300.0,3.9244,3.6012,10.8586,2.9103,1.0
RPC_CC,1,0.7062,discharge,-29.764,10.0,9.0,25.96,300.0,3.9244,3.538,12.9819,2.9103,1.0
RPC_CC,1,0.6092,discharge,-29.745,2.0,2.0,25.97,300.0,3.8308,3.5218,10.3885,2.9103,1.0
RPC_CC,1,0.6092,discharge,-29.745,10.0,9.01,25.97,300.0,3.8308,3.4553,12.6242,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.708,2.0,2.0,25.85,300.0,3.7378,3.4258,10.5022,2.9103,1.0
RPC_CC,1,0.5121,discharge,-29.708,10.0,9.0,25.85,300.0,3.7378,3.3497,13.0638,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.699,2.0,2.0,25.78,300.0,3.6548,3.3444,10.4515,2.9103,1.0
RPC_CC,1,0.4151,discharge,-29.699,10.0,9.0,25.78,300.0,3.6548,3.2668,13.0644,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.672,2.0,2.0,25.86,300.0,3.594,3.2815,10.5318,2.9103,1.0
RPC_CC,1,0.3181,discharge,-29.672,10.0,9.0,25.86,300.0,3.594,3.1994,13.2987,2.9103,1.0
