cell,cycle,SOH,CAP_Ah,SOC,soc_group,tau_s,direction,V_pre_V,V_min_V,n_rates,I_max_meas_A,I_star_lin4_A,I_star_lin2hi_A,spread_A,extrap,fit_r2
BOOST,262,0.95475,2.86005,0.1421,11,10.0,charge,3.4123,4.2,4,-28.597,56.139,58.027,1.888,1.963,0.99903
BOOST,262,0.95475,2.86005,0.0945,12,2.0,charge,3.3592,4.2,4,-28.597,69.205,74.706,5.502,2.42,0.99547
BOOST,262,0.95475,2.86005,0.0945,12,10.0,charge,3.3592,4.2,4,-28.597,58.373,61.802,3.429,2.041,0.99516
BOOST,300,0.94965,2.84478,0.9526,1,2.0,charge,4.1015,4.2,4,-6.782,6.924,,,1.021,0.98379
BOOST,300,0.94965,2.84478,0.9526,1,10.0,charge,4.1015,4.2,4,-6.782,6.509,,,0.96,0.97762
BOOST,300,0.94965,2.84478,0.9052,2,2.0,charge,4.0831,4.2,4,-9.116,9.15,,,1.004,0.9978
BOOST,300,0.94965,2.84478,0.9052,2,10.0,charge,4.0831,4.2,4,-9.116,8.952,9.14,0.188,0.982,0.99165
BOOST,300,0.94965,2.84478,0.8104,3,2.0,charge,4.029,4.2,4,-13.584,13.554,13.436,0.117,0.998,0.99959
BOOST,300,0.94965,2.84478,0.8104,3,10.0,charge,4.029,4.2,4,-13.584,13.427,,,0.988,0.99378
BOOST,300,0.94965,2.84478,0.7157,4,2.0,charge,3.9256,4.2,4,-23.594,24.105,23.544,0.561,1.022,0.99652
BOOST,300,0.94965,2.84478,0.7157,4,10.0,charge,3.9256,4.2,4,-23.594,22.446,23.579,1.134,0.951,0.9868
BOOST,300,0.94965,2.84478,0.6209,5,2.0,charge,3.8471,4.2,4,-28.442,33.025,33.581,0.556,1.161,0.99919
BOOST,300,0.94965,2.84478,0.6209,5,10.0,charge,3.8471,4.2,4,-28.442,27.767,28.404,0.636,0.976,0.9955
BOOST,300,0.94965,2.84478,0.526,6,2.0,charge,3.7369,4.2,4,-28.441,43.751,44.47,0.719,1.538,0.99971
BOOST,300,0.94965,2.84478,0.526,6,10.0,charge,3.7369,4.2,4,-28.441,34.77,35.163,0.392,1.223,0.99967
BOOST,300,0.94965,2.84478,0.4312,7,2.0,charge,3.6559,4.2,4,-28.439,51.948,52.49,0.542,1.827,0.9999
BOOST,300,0.94965,2.84478,0.4312,7,10.0,charge,3.6559,4.2,4,-28.439,42.324,42.518,0.195,1.488,0.99986
BOOST,300,0.94965,2.84478,0.3364,8,2.0,charge,3.5952,4.2,4,-28.441,56.814,57.974,1.16,1.998,0.99975
BOOST,300,0.94965,2.84478,0.3364,8,10.0,charge,3.5952,4.2,4,-28.441,46.908,47.918,1.01,1.649,0.99944
BOOST,300,0.94965,2.84478,0.2416,9,2.0,charge,3.5128,4.2,4,-28.44,62.276,64.295,2.019,2.19,0.99931
