temp_set_C,T_cell_C,tau_s,SOC,direction,I_A,rest_before_s,V_pre_V,V_tau_V,R_mOhm
-10,-8.64,10.0,0.7882,charge,5.0,20.2,3.913,4.0902,35.4393
-10,-8.52,10.0,0.7877,discharge,-22.347,20.2,3.9,3.2269,30.1204
-10,-8.11,10.0,0.7897,charge,4.978,20.2,3.9251,4.0992,34.9739
-10,-8.56,10.0,0.7893,discharge,-24.313,20.2,3.9099,3.1991,29.2354
-10,-7.84,10.0,0.7427,charge,4.998,20.2,3.8725,4.0394,33.3907
-10,-7.98,10.0,0.7422,discharge,-21.407,20.2,3.8606,3.2179,30.0229
-10,-8.4,10.0,0.7441,charge,4.98,20.2,3.8824,4.0486,33.3735
-10,-8.62,10.0,0.6948,charge,4.998,20.2,3.8294,3.9969,33.5147
-10,-8.26,10.0,0.6943,discharge,-19.568,20.2,3.8191,3.2098,31.1376
-10,-8.59,10.0,0.6961,charge,4.979,20.2,3.8408,4.006,33.1767
-10,-8.32,10.0,0.6464,charge,4.999,20.2,3.7807,3.9514,34.1455
-10,-8.13,10.0,0.646,discharge,-17.712,20.2,3.7722,3.2023,32.1759
-10,-8.57,10.0,0.6476,charge,4.98,20.2,3.7944,3.9622,33.6955
-10,-8.19,10.0,0.5979,charge,4.999,20.2,3.7264,3.9001,34.7449
-10,-8.76,10.0,0.5975,discharge,-15.74,20.2,3.7212,3.1982,33.2274
-10,-8.63,10.0,0.5989,charge,4.981,20.2,3.7437,3.9145,34.2903
-10,-7.96,10.0,0.549,charge,4.999,20.2,3.6711,3.8461,35.0063
-10,-8.17,10.0,0.5485,discharge,-13.797,20.2,3.6681,3.1971,34.1379
-10,-8.04,10.0,0.5498,charge,4.98,20.2,3.6899,3.8632,34.8013
-10,-8.08,10.0,0.4999,charge,4.998,20.2,3.6218,3.7988,35.417
-10,-7.98,10.0,0.4994,discharge,-11.973,20.2,3.6214,3.1983,35.3378
-10,-8.06,10.0,0.5005,charge,4.983,20.2,3.6423,3.818,35.2592
-10,-8.3,10.0,0.4504,charge,4.999,20.2,3.5778,3.7577,35.9886
-10,-8.35,10.0,0.45,discharge,-10.206,20.2,3.5795,3.2018,37.0076
-10,-7.77,10.0,0.4509,charge,4.978,20.2,3.5991,3.7799,36.3191
-10,-7.96,10.0,0.4007,charge,4.999,20.2,3.5359,3.7217,37.1652
-10,-7.95,10.0,0.4002,discharge,-8.422,20.2,3.5385,3.2048,39.6234
-10,-8.18,10.0,0.401,charge,4.979,20.2,3.5569,3.7434,37.4558
-10,-8.35,10.0,0.3507,charge,4.999,20.2,3.4934,3.6868,38.6846
-10,-8.09,10.0,0.3502,discharge,-6.504,20.2,3.4962,3.2085,44.2364
