cell,zipname,file,kind,cycle,n,bad_frac,T_min,T_med,T_lowV_med,note
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-08-21_05.34_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#188_to_202.mat,drive,188,103371,0.0,24.06,26.08,26.11,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-09-21_11.35_CC_protocol_halfC_0.5C_dchg_(b1)_IN21700_30T_cycle_#203.mat,halfC,203,6915,0.0,24.21,25.18,25.41,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-09-21_11.35_CC_protocol_halfC_CAP_(b1)_forexcel_cycle_#203.mat,CAP,203,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-09-21_14.47_CC_protocol_halfC_0.5C_dchg_(b2)_IN21700_30T_cycle_#204.mat,halfC,204,6919,0.0,24.48,25.34,25.65,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-09-21_14.47_CC_protocol_halfC_CAP_(b2)_forexcel_cycle_#204.mat,CAP,204,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-09-21_16.42_CC_protocol_tenpercent_chg_b_IN21700_30T_cycle_#204.mat,other,204,1039,0.0,24.8,25.63,25.63,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-09-21_17.40_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#205_to_219.mat,drive,205,104220,0.0,24.51,26.07,26.03,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,Cover20 is not performed this week_#6.mat,other,-1,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-11-21_16.31_CC_protocol_whole_Schedule_IN21700_30T_cycle_#220_week#7.mat,schedule,220,297773,0.0,23.82,25.86,25.84,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-12-21_14.25_CC_protocol_OCV_0.05C_IN21700_30T_cycle_#220.mat,OCV,220,1244,0.0,24.36,25.28,25.14,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-13-21_11.05_CC_protocol_halfC_0.5C_dchg_(a1)_IN21700_30T_cycle_#221.mat,halfC,221,6927,0.0,25.0,25.79,26.08,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-13-21_11.05_CC_protocol_halfC_CAP_(a1)_forexcel_cycle_#221.mat,CAP,221,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-13-21_14.33_CC_protocol_halfC_0.5C_dchg_(a2)_IN21700_30T_cycle_#222.mat,halfC,222,6848,0.0,24.21,25.25,25.25,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-13-21_14.33_CC_protocol_halfC_CAP_(a2)_forexcel_cycle_#222.mat,CAP,222,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-14-21_12.36_CC_protocol_ONE_C_charge_IN21700_30T_cycle_#222.mat,other,222,325,0.0,24.28,25.82,24.97,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-14-21_13.53_CC_protocol_OneC_1C_dchg_IN21700_30T_cycle_#223.mat,other,223,3400,0.0,24.52,25.5,25.75,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-14-21_16.21_CC_protocol_TwoC_2C_dchg_IN21700_30T_cycle_#224.mat,other,224,1686,0.0,24.6,26.8,27.26,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-14-21_18.25_CC_protocol_HPPC_IN21700_30T_cycle_#225.mat,HPPC,225,35064,0.0,23.82,25.59,25.45,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-16-21_00.34_CC_protocol_tenpercent_chg_a_IN21700_30T_cycle_#225.mat,other,225,1027,0.0,24.52,25.26,25.26,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-16-21_01.31_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#226_to_240.mat,drive,226,103317,0.0,24.51,25.98,26.02,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-17-21_07.29_CC_protocol_halfC_0.5C_dchg_(b1)_IN21700_30T_cycle_#241.mat,halfC,241,7477,0.0,24.22,25.05,25.28,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-17-21_07.29_CC_protocol_halfC_CAP_(b1)_forexcel_cycle_#241.mat,CAP,241,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-17-21_10.50_CC_protocol_halfC_0.5C_dchg_(b2)_IN21700_30T_cycle_#242.mat,halfC,242,7478,0.0,24.27,25.11,25.32,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-17-21_10.50_CC_protocol_halfC_CAP_(b2)_forexcel_cycle_#242.mat,CAP,242,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-17-21_12.55_CC_protocol_tenpercent_chg_b_IN21700_30T_cycle_#242.mat,other,242,1033,0.0,24.48,25.26,25.26,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-17-21_13.52_CC_protocol__Fifteen_Drive_Cycles_set_IN21700_30T_cycle_#243_to_257.mat,drive,243,103929,0.0,24.47,26.05,26.1,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-21-21_13.36_CC_protocol_whole_Schedule_IN21700_30T_cycle_#258_week#8.mat,schedule,258,296892,0.0,23.75,26.17,26.18,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-21-21_14.51_CC_protocol_halfC_0.5C_dchg_(a1)_IN21700_30T_cycle_#258.mat,halfC,258,6817,0.0,24.5,25.44,25.68,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-21-21_14.51_CC_protocol_halfC_CAP_(a1)_forexcel_cycle_#258.mat,CAP,258,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-21-21_18.17_CC_protocol_halfC_0.5C_dchg_(a2)_IN21700_30T_cycle_#259.mat,halfC,259,6823,0.0,24.58,25.54,25.84,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-21-21_18.17_CC_protocol_halfC_CAP_(a2)_forexcel_cycle_#259.mat,CAP,259,0,1.0,,,,read:KeyError
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-21-21_20.26_CC_protocol_ONE_C_charge_IN21700_30T_cycle_#259.mat,other,259,323,0.0,24.98,26.47,25.66,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-21-21_21.43_CC_protocol_OneC_1C_dchg_IN21700_30T_cycle_#260.mat,other,260,3387,0.0,25.21,26.38,26.69,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-22-21_00.15_CC_protocol_TwoC_2C_dchg_IN21700_30T_cycle_#261.mat,other,261,1678,0.0,25.78,27.47,27.8,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-22-21_02.20_CC_protocol_HPPC_IN21700_30T_cycle_#262.mat,HPPC,262,35015,0.0,23.75,25.87,25.91,
CC,03-CONSTANT CURRENT protocol_Cycles 0 to 1000.zip,06-24-21_14.19_CC_protocol_tenpercent_chg_a_IN21700_30T_cycle_#262.mat,other,262,1026,0.0,24.52,25.31,25.31,
